,Carimbo de data/hora,Nome de usuário,Nome,Curso de graduação,Você estuda majoritariamente em qual turno?,"Para você, quais são os horários de aula ideais?","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira profissional?
(avalie de 1 a 5)","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira acadêmica?
(avalie de 1 a 5)",Espaço para observações ou comentários adicionais,"Para você, quais são os horários de aula ideais?.1","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira profissional?
(avalie de 1 a 5).1","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira acadêmica?
(avalie de 1 a 5).1",Espaço para observações ou comentários adicionais.1,"Para você, quais são os horários de aula ideais?.2","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira profissional?
(avalie de 1 a 5).2","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira acadêmica?
(avalie de 1 a 5).2",Espaço para observações ou comentários adicionais.2,Unnamed: 17
98,2023/11/24 3:05:03 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30,4.0,3.0,,,,,,,,,,
99,2023/11/24 3:05:27 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55,5.0,3.0,,,,,,,,,,
100,2023/11/24 3:05:28 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;19:00 - 22:35,4.0,4.0,,,,,,,,,,
101,2023/11/24 3:05:51 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,18:00 - 21:55,5.0,3.0,,,,,,,,,,
102,2023/11/24 3:05:56 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,8:30 - 12:10;14:00 - 17:30,3.0,2.0,,,,,,
103,2023/11/24 3:06:27 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,"8:00 - 11:40, 13:30 - 15:10",5.0,5.0,"7:30 é cedo demais para acordar, especialmente se é preciso acordar ainda mais cedo para pegar uma condução até a UF.",,,,,,,,,
104,2023/11/24 3:06:30 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,3.0,,,,,,,,,,
105,2023/11/24 3:06:34 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30;14:00 - 17:30,4.0,4.0,,,,,,,,,,
106,2023/11/24 3:07:41 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,,,,,
107,2023/11/24 3:07:57 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;14:00 - 17:30;15:00 - 18:30,4.0,4.0,"Na minha opinião, para cursos que não são noturnos, é essencial a padronização de um turno a partir de pelo menos do 4,5 período, isso facilitaria muito para conseguir encaixar com horários de estágios do mercado de trabalho, tendo aula nos 2 turnos de dia, fica praticamente impossível seguir um horário comercial.",,,,,,,,,
108,2023/11/24 3:08:13 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30,1.0,5.0,,,,,,,,,,
109,2023/11/24 3:08:19 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;18:00 - 21:55;19:00 - 22:35,5.0,1.0,,,,,,,,,,
110,2023/11/24 3:08:45 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10,5.0,5.0,"Horários espaçados atrapalham muito o meu rendimento acadêmico. E não apenas nessa âmbito, é extremamente difícil conseguir um estágio ou emprego em qual qualquer área, visto que em muitos dias eu tenho que ficar quase o dia todo na faculdade. Fazer horários menos espaçados faria da ufmg um lugar mais inclusivo, onde pessoas pobres como eu poderiam trabalhar e estudar visando a formatura.",,,,,,,,,
111,2023/11/24 3:09:25 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,3.0,3.0,"Às vezes é necessário deixar de fazer uma matéria de interesse pois o horário é muito cedo e eu teria que ficar esperando até o horário das minhas aulas normais, 19 horas. ",
112,2023/11/24 3:10:05 PM GMT-3,redacted,redacted,Engenharia Ambiental,Vespertino,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,4.0,,,,,,
113,2023/11/24 3:12:43 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30,5.0,5.0,,,,,,,,,,
114,2023/11/24 3:12:54 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,7:30 - 11:10,4.0,3.0,,,,,,,,,,
115,2023/11/24 3:13:01 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;18:00 - 21:55;19:00 - 22:35,3.0,3.0,"Um problema muito importante no curso da elétrica também é a quantidade de matérias optativas as 9h25 ter/qui inviabilizando muito o estudante que precisa pegá-las. Enquanto outros horários ficam vazios, há grande oferta as 9h25. Apenas uma ideia aqui: a diretoria da elétrica poderia avaliar os horários das grades dos alunos que ficam mais vazias (ex: 80% dos alunos estão com segunda 7h30 livre enquanto apenas 5% estão com terça 9h25 livre) o que seria um indicativo de horário mais ocupado com matérias de interesse real, fazer uma pesquisa de interesse para tratar esses dados, perguntando aos alunos da elétrica se existe algum motivo em específico para que aquele horário esteja vago (ex: dormir ou trabalhar), traçar uma correlação e redistribuir os horários mais buscados, nos horários mais disponíveis",,,,,,,,,
116,2023/11/24 3:13:05 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,4.0,2.0,,
117,2023/11/24 3:15:36 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,8:30 - 12:10;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55,5.0,5.0,"Manter aula 7:30 pra jovens é negacionismo, vai totalmente contra a ciência! Referência: School Start Times for Adolescents. Pediatrics (2014).",,,,,,,,,
118,2023/11/24 3:17:42 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55,5.0,5.0,,,,,,
119,2023/11/24 3:18:06 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;18:00 - 21:55;19:00 - 22:35,5.0,4.0,,,,,,,,,,
120,2023/11/24 3:18:12 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55,5.0,5.0,,
121,2023/11/24 3:18:51 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,3.0,,,,,,,,,,
122,2023/11/24 3:19:16 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;13:00 - 16:30,4.0,4.0,,,,,,,,,,
123,2023/11/24 3:19:30 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,,,,,
124,2023/11/24 3:19:44 PM GMT-3,redacted,redacted,Engenharia Ambiental,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10;14:00 - 17:30,4.0,4.0,,,,,,
125,2023/11/24 3:21:06 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55,5.0,5.0,,,,,,
126,2023/11/24 3:21:17 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,2.0,"Os horários dispersos nos turnos da manhã e da tarde quase inviabilizam a realização de estágios e trabalhos paralelamente aos estudos. Essa imposição faz dos cursos de engenharia que somente possuem turno diurno (manhã e tarde) elitistas, pois quem é pobre não pode trabalhar, e prejudicam quem quer trabalhar no geral e vivenciar o mercado de trabalho.",,,,,,,,,
127,2023/11/24 3:21:20 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,"Temos a necessidade de estágio, que na maioria são matutinos. Se fosse possível ter todas as aulas depois das 15h seria perfeito.",,,,,
128,2023/11/24 3:21:49 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,5.0,5.0,Meu curso é noturno e ter pouca variedade de optativas à noite considero muito problemático. É uma situação que dificulta e muito a formação acadêmica de estudantes que PRECISAM trabalhar.,
129,2023/11/24 3:21:53 PM GMT-3,redacted,redacted,Engenharia Mecânica,Noturno,,,,,,,,,7:30 - 11:10;8:30 - 12:10;18:00 - 21:55,2.0,4.0,,
130,2023/11/24 3:23:28 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,4.0,1.0,,
131,2023/11/24 3:24:10 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,1.0,1.0,,
132,2023/11/24 3:26:23 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,5.0,5.0,,
133,2023/11/24 3:27:31 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,7:30 - 11:10;19:00 - 22:35,5.0,3.0,"O mesmo curso ter aulas durante vários turnos a cada semestre prejudica muito uma carreira profissional. Em um país como o Brasil, que o desemprego sempre está em alta, é importante prezar pela facilitação desse processo. Não há sentido algum o curso de Engenharia Ambiental, por exemplo, que é o curso em que estou me graduando, ter aula um semestre de manhã e no semestre seguinte ser a tarde. Não é toda empresa que é flexível em relação a horários e isso prejudica a admissão em um emprego, que, muitas vezes, é uma necessidade, não opção.",,,,,,,,,
134,2023/11/24 3:27:34 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,4.0,,
135,2023/11/24 3:28:30 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,,
136,2023/11/24 3:29:27 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,4.0,1.0,,
137,2023/11/24 3:32:09 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,4.0,4.0,,
138,2023/11/24 3:33:07 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,4.0,4.0,"O ideal, para os alunos do noturno, é manter o horário das aulas começando as 19h. Além de ofertar matérias optativas de forma online, visto que não conseguimos ir durante o dia.",
139,2023/11/24 3:33:26 PM GMT-3,redacted,redacted,Engenharia de Minas,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,
140,2023/11/24 3:35:19 PM GMT-3,redacted,redacted,Engenharia Ambiental,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10;18:00 - 21:55;19:00 - 22:35,4.0,4.0,,,,,,
141,2023/11/24 3:36:03 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,8:30 - 12:10;13:00 - 16:30;14:00 - 17:30,4.0,4.0,,
142,2023/11/24 3:36:13 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,4.0,4.0,,
143,2023/11/24 3:39:51 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;18:00 - 21:55;19:00 - 22:35,4.0,4.0,,,,,,,,,,
144,2023/11/24 3:41:03 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,8:30 - 12:10,5.0,3.0,,,,,,,,,,
145,2023/11/24 3:41:36 PM GMT-3,redacted,redacted,Engenharia Elétrica,Noturno,,,,,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,2.0,,
146,2023/11/24 3:42:19 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,3.0,3.0,,
147,2023/11/24 3:43:55 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30,3.0,4.0,,,,,,,,,,
148,2023/11/24 3:48:32 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10,5.0,3.0,,,,,,,,,,
149,2023/11/24 3:49:35 PM GMT-3,redacted,redacted,Engenharia de Controle e Automação,Vespertino,,,,,13:00 - 16:30;14:00 - 17:30;15:00 - 18:30,1.0,1.0,,,,,,
150,2023/11/24 3:50:53 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,5.0,3.0,,,,,,
151,2023/11/24 3:56:19 PM GMT-3,redacted,redacted,Engenharia de Controle e Automação,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,4.0,4.0,"Algumas matérias não são ofertadas no noturno, como optativas, e a grande parte trabalha em empregos CLTS é isso acaba atrasando nossa formação ",
152,2023/11/24 3:59:17 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,13:00 - 16:30;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,4.0,3.0,,,,,,
153,2023/11/24 4:02:22 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10,4.0,4.0,,,,,,,,,,
154,2023/11/24 4:02:34 PM GMT-3,redacted,redacted,Engenharia Elétrica,Noturno,,,,,,,,,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,,
155,2023/11/24 4:03:22 PM GMT-3,redacted,redacted,Engenharia Ambiental,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30,5.0,3.0,,,,,,
156,2023/11/24 4:06:37 PM GMT-3,redacted,redacted,Engenharia Mecânica,Matutino,8:30 - 12:10;13:00 - 16:30,2.0,4.0,,,,,,,,,,
157,2023/11/24 4:10:58 PM GMT-3,redacted,redacted,Engenharia de Minas,Matutino,7:30 - 11:10;18:00 - 21:55,5.0,5.0,"Além dos horários discutindo os espaços de estudos pois, as bibliotecas não tem tomadas e também não existe na instituição um local de estudo com silencioso absoluto para estudar, pois o único um pouco assim é da biblioteca da face que depois da pandemia virou um lixo, além disso, a UFMG tem que fazer campanha aberta de como comporta em biblioteca ",,,,,,,,,
158,2023/11/24 4:11:21 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;8:30 - 12:10;18:00 - 21:55;19:00 - 22:35,4.0,2.0,,,,,,,,,,
159,2023/11/24 4:17:15 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,,
160,2023/11/24 4:18:54 PM GMT-3,redacted,redacted,Engenharia de Minas,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30,3.0,5.0,,,,,,,,,,
161,2023/11/24 4:24:17 PM GMT-3,redacted,redacted,Engenharia de Produção,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,4.0,"Infelizmente atualmente a EE conta com horários muito espaçados, já cheguei a conseguir oportunidades de trabalho,porém tive que desistir por consequência do horário das aulas.",,,,,,,,,
162,2023/11/24 4:24:26 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,5.0,5.0,,
163,2023/11/24 4:27:28 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,18:00 - 21:55;19:00 - 22:35,5.0,2.0,,
164,2023/11/24 4:32:07 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55;19:00 - 22:35,4.0,3.0,,,,,,
165,2023/11/24 4:34:38 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10,3.0,3.0,"Neste exato momento, eu estou tendo que atrasar algumas matérias obrigatórias que ocorrem no período da tarde, matérias do 5° período da elétrica e também os laboratórios das matérias do 6° que possuem a parte teórica pela manhã e a parte prática na tarde. Quase todas as matérias que ocorrem nos laboratórios são de tarde, e isso me prejudica bastante pois faço estágio pela tarde, estágio que comecei quando entrei no 5° período e que possui duração de 2 anos, ou seja, vou ficar um bom tempo sem cursa-las.",,,,,,,,,
166,2023/11/24 4:35:37 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,3.0,3.0,,
167,2023/11/24 4:41:57 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10,3.0,3.0,,,,,,,,,,
168,2023/11/24 4:43:35 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,,,,,,,,,,
169,2023/11/24 4:44:24 PM GMT-3,redacted,redacted,Engenharia Ambiental,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,
170,2023/11/24 4:48:06 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30,2.0,3.0,,
171,2023/11/24 4:54:17 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55,5.0,5.0,"Atrapalha os estudos e a vida fora da ufmg, particularmente não consigo estagiar em paz ",,,,,,,,,
172,2023/11/24 4:54:56 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,,,,,
173,2023/11/24 5:06:18 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10,5.0,4.0,"O longo intervalo entre as disciplinas impede que alguns estudantes ingressem no mercado de trabalho, caso necessitem. Isso também leva os estudantes a investirem em outros materiais de estudo, como notebooks ou tablets, para garantir o mesmo conforto que teriam se estivessem em casa, o que muitas vezes se torna inviável.",,,,,,,,,
174,2023/11/24 5:08:28 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,,,,,
175,2023/11/24 5:12:03 PM GMT-3,redacted,redacted,Engenharia Ambiental,Matutino,7:30 - 11:10;8:30 - 12:10,4.0,2.0,,,,,,,,,,
176,2023/11/24 5:14:50 PM GMT-3,redacted,redacted,Engenharia Mecânica,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30,1.0,1.0,"Se houver concentração, haverá sobreposição. Assim se eu for reprovado em uma matéria não haverá como fazer a matéria no semestre seguinte sem atrasar o curso.",,,,,
177,2023/11/24 5:18:12 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,3.0,4.0,,
178,2023/11/24 5:45:15 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,"Atrapalha no momento de pegar estágios, IC's, além de nos manter muito tempo na faculdade, que nos faz ficar incomodados por não conseguir descansar, pois é melhor descansar uma parte do dia em casa do que na faculdade, uma vez que é complicado se deslocar de volta pra casa e voltar mais tarde para outra aula",,,,,,,,,
179,2023/11/24 5:48:07 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,
180,2023/11/24 5:57:54 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30,5.0,3.0,,,,,,,,,,
181,2023/11/24 6:15:34 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,8:30 - 12:10;13:00 - 16:30,5.0,5.0,,,,,,
182,2023/11/24 6:19:46 PM GMT-3,redacted,redacted,Engenharia de Controle e Automação,Matutino,13:00 - 16:30;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55;18:00 - 21:55,1.0,1.0,,,,,,,,,,
183,2023/11/24 6:26:14 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,,,,,
184,2023/11/24 6:30:10 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10,5.0,5.0,"Seria primordial haver uma padronização de horários, e ate a abertura de cursos de graduação em Engenharia no noturno, no meu caso Engenharia Eletrica noturno. Pois atualmente so um numero limitado de cursos possuem o turno noturno.",,,,,,,,,
185,2023/11/24 6:45:22 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,5.0,5.0,Horários não consecutivos impedem o encontro de estágios. ,,,,,
186,2023/11/24 6:46:20 PM GMT-3,redacted,redacted,Engenharia Química,Vespertino,,,,,8:30 - 12:10;15:00 - 18:30,3.0,4.0,,,,,,
187,2023/11/24 6:57:15 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,17:00 - 20:55,2.0,1.0,,
188,2023/11/24 7:14:17 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;13:00 - 16:30,4.0,2.0,,,,,,,,,,
189,2023/11/24 7:32:59 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;7h30 - 12h50,5.0,2.0,,,,,,,,,,
190,2023/11/24 7:43:22 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,4.0,4.0,,,,,,
191,2023/11/24 7:45:00 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,14:00 - 17:30;17:00 - 20:55,4.0,4.0,"Principalmente quando estamos estagiando e se temos alguma matéria em atraso, vira um caos porquê os horários de aula ficam todos esparramados. ",,,,,
192,2023/11/24 7:45:06 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,2.0,1.0,,,,,,
193,2023/11/24 7:46:12 PM GMT-3,redacted,redacted,Engenharia Ambiental,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,4.0,3.0,,,,,,
194,2023/11/24 7:55:48 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;13:00 - 16:30;19:00 - 22:35,5.0,3.0,,,,,,,,,,
195,2023/11/24 8:58:38 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,4.0,4.0,,
196,2023/11/24 10:00:34 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,15:00 - 18:30;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,"Fica difícil conseguir um estágio, ou trabalho com os horários bagunçados. Dessa forma quando se trata de colocar em prática o que aprendemos na graduação ficamos atrás de quem estuda em uma faculdade particular.",,,,,,,,,
197,2023/11/24 10:05:12 PM GMT-3,redacted,redacted,Engenharia Civil,Noturno,,,,,,,,,19:00 - 22:35,5.0,5.0,"Essa separação de horário atrapalha na formação acadêmica e os alunos que possuem um trabalho, como eu.",
198,2023/11/24 10:07:32 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10,5.0,5.0,,,,,,,,,,
199,2023/11/24 10:09:18 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;19:00 - 22:35,5.0,1.0,,,,,,,,,,
200,2023/11/24 10:13:42 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30,5.0,2.0,,,,,,,,,,
201,2023/11/24 10:14:14 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;18:00 - 21:55;19:00 - 22:35,4.0,2.0,,,,,,,,,,
202,2023/11/24 10:15:29 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,8:30 - 12:10;14:00 - 17:30,5.0,4.0,,,,,,,,,,
203,2023/11/24 10:21:24 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;18:00 - 21:55;19:00 - 22:35,5.0,5.0,,,,,,,,,,
204,2023/11/24 10:29:34 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10;13:00 - 16:30;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55,1.0,1.0,,,,,,,,,,
205,2023/11/24 10:47:29 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,4.0,1.0,,
206,2023/11/24 10:48:00 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;13:00 - 16:30,3.0,3.0,,,,,,,,,,
207,2023/11/24 10:48:33 PM GMT-3,redacted,redacted,Engenharia Civil,Vespertino,,,,,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,
208,2023/11/24 10:50:29 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;8:30 - 12:10,5.0,5.0,,,,,,,,,,
209,2023/11/24 10:53:07 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,8:30 - 12:10;14:00 - 17:30;15:00 - 18:30,5.0,2.0,,,,,,,,,,
210,2023/11/24 10:59:47 PM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10,5.0,4.0,,,,,,,,,,
211,2023/11/24 11:22:04 PM GMT-3,redacted,redacted,Engenharia Civil,Matutino,7:30 - 11:10;8:30 - 12:10;17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,4.0,4.0,"gostaria de um horário fixo, como só matutino, só vespertino ou noturno, moro longe e ter que ficar o dia inteiro na faculdade cansa e as vezes me prejudica.",,,,,,,,,
212,2023/11/25 12:35:47 AM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;13:00 - 16:30,4.0,2.0,,,,,,,,,,
213,2023/11/25 6:11:29 AM GMT-3,redacted,redacted,Engenharia Elétrica,Matutino,7:30 - 11:10;13:00 - 16:30;17:00 - 20:55;18:00 - 21:55,4.0,4.0,,,,,,,,,,
